In what year are you in your cumulative undergraduate studies?,In what year are you in your cumulative time at UC Berkeley?,Do you consider yourself an introvert or extrovert?,How many different people do you text (or any other forms of direct messaging) per day on average?,"On average, how many hours of sleep do you get each night?",Are you left-handed or right-handed?,Which leg do you put in first when putting on pants?
Not an undergrad,First,5,6,8,Right-handed,Left leg in first
First,First,5,3,7,Right-handed,Left leg in first
Second,Second,8,10,8,Right-handed,Right leg in first
Not an undergrad,First,2,5,7,Right-handed,Right leg in first
Third,First,2,2,8,Right-handed,I don't know
Second,Second,6,9,6,Right-handed,Left leg in first
Fourth,Second,8,,7.5,Both,
Third,Third,7,5,8,Right-handed,Left leg in first
Third,Third,5,2,6,Right-handed,Right leg in first
Third,Third,7,7,7,Right-handed,Right leg in first
Third,Third,5,6,6,Right-handed,Right leg in first
Fourth,First,8,6,12,Right-handed,Right leg in first
Fourth,First,6,,8,Right-handed,I don't know
Fourth,Second,3,4,6,Right-handed,Left leg in first
Third,First,4,2,8,Right-handed,Left leg in first
,,4,7,6,Left-handed,Left leg in first
Not an undergrad,First,,,,,
Third,Third,7,5,5,Right-handed,I don't know
Fourth,First,2,5,5.5,i sexually identify as an attack helicopter,Right leg in first
Second,,3,,,Right-handed,Left leg in first
Second,Second,5,4,7,Right-handed,Left leg in first
Fourth,Second,2,3,7,Left-handed,I don't know
Second,First,3,4,7,Right-handed,Right leg in first
Third,Third,2,2,6,Right-handed,I don't know
Fifth or above,Second,6,10,7,"Lefty until 4-5 years old , now a righty. Ambidextrous besides writing",I don't know
First,First,3,3,6,Right-handed,Left leg in first
Second,Second,2,3,8,Right-handed,Right leg in first
Second,Second,4,2,8,Right-handed,Right leg in first
Fourth,Fourth,8,10,8,Right-handed,Left leg in first
Third,Second,6,4,6,Right-handed,Right leg in first
Fifth or above,Second,8,5,7,Right-handed,Left leg in first
Third,Third,6,4,6,Right-handed,Left leg in first
Fourth,Fifth or above,6,2,6,Left handed but write with right hand,Left leg in first
Not an undergrad,First,6,14,7,Right-handed,Left leg in first
First,First,6,4,6,Right-handed,Right leg in first
Fourth,,4,20,8,Right-handed,Right leg in first
Third,Third,1,2,8,Right-handed,Right leg in first
Fourth,,4,2,7,Right-handed,I don't know
Fourth,Second,6,5,8,Right-handed,Right leg in first
Second,First,4,,,Right-handed,Left leg in first
Second,First,4,10,7,Right-handed,Left leg in first
Second,First,4,10,6,Left-handed,Right leg in first
Second,Second,9,12,7,Right-handed,Right leg in first
Third,Third,4,4,8,Right-handed,I don't know
Fourth,Fourth,6,3,7,Right-handed,Right leg in first
Fourth,Second,8,5,7,Right-handed,Left leg in first
Second,Second,4,3,7,Right-handed,Right leg in first
Fourth,Fourth,5,9,7,Right-handed,Left leg in first
Fourth,First,1,5,8,Right-handed,I don't know
Third,First,3,0,7,Right-handed,I don't know
Fourth,Second,7,5,4,Right-handed,Left leg in first
Third,Third,3,3,7.49,Right-handed,I don't know
Not an undergrad,First,8,2,7,Right-handed,Right leg in first
Not an undergrad,First,6,5,8,Right-handed,Right leg in first
Third,Third,5,5,9,Right-handed,I don't know
Fourth,Fourth,4,4,7,Right-handed,Right leg in first
Fourth,Second,8,,7,Right-handed,Right leg in first
Fourth,Second,9,3,6,Right-handed,Right leg in first
Second,Second,4,2,6,Right-handed,Right leg in first
Third,Third,4,5,8,Right-handed,Left leg in first
Third,,2,3,7.5,Right-handed,Left leg in first
Fourth,Third,6,10,7,Right-handed,Left leg in first
Fourth,Third,5,3,4,Right-handed,Right leg in first
Second,Second,5,15,7,Right-handed,Right leg in first
Third,Third,8,10,7,Right-handed,Left leg in first
Fourth,First,4,6,7,Left-handed,Left leg in first
Third,Third,10,6,5,Right-handed,Right leg in first
Second,First,5,3,7,Right-handed,I don't know
Fourth,Fourth,4,5,7,Right-handed,I don't know
Fourth,Fourth,5,4,6,Left-handed,I don't know
Fourth,Fourth,7,4,6,Right-handed,Right leg in first
Second,Second,3,3,7,Right-handed,Right leg in first
Second,Second,8,20,7,Right-handed,Left leg in first
Third,First,6,,,Right-handed,I don't know
Not an undergrad,First,3,5,8,Right-handed,Right leg in first
Second,First,4,5,6,Right-handed,I don't know
,Third,3,,,,
Fourth,Second,5,4,8,Right-handed,Right leg in first
First,First,7,20,6,Right-handed,Left leg in first
Second,Second,7,9,7,Right-handed,Right leg in first
Fourth,Fourth,9,8,8,Right-handed,Right leg in first
First,First,7,10,7,Right-handed,Left leg in first
Fourth,Fourth,8,6,7,Right-handed,Left leg in first
Fourth,Second,5,,,,
First,First,4,3,6,Right-handed,Right leg in first
Fourth,Second,5,5,8,Left-handed,Left leg in first
Second,First,7,8,8,Right-handed,Right leg in first
Third,Third,7,12,7,Right-handed,Left leg in first
